date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:53	109852/109852	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html	(from )
18:01:53	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Jun%202021%2010:01:53%20GMT	https://demos.creative-tim.com/robots.txt		(from )
18:01:54	2446/2446	---M--	200	added ('OK')	image/png	etag:%2260c310c1-98e%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/apple-icon.png	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:54	2761/2761	---M--	200	added ('OK')	image/png	etag:%2260c310c1-ac9%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/favicon.png	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:55	15756/15756	---M--	200	added ('OK')	image/jpeg	etag:%226bb7d038bfacfef67e2f87b241fb1ed7%22	https://s3.amazonaws.com/creativetim_bucket/products/487/thumb/opt_sdp_thumbnail.jpg	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/s3.amazonaws.com/creativetim_bucket/products/487/thumb/opt_sdp_thumbnail.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:56	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%2260c310c1-2337%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-icons.css	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:56	2253/2253	---M-Z	200	added ('OK')	text/css	etag:W/%2260c310c1-8cd%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-svg.css	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:56	10865/10865	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2023%20Jun%202021%2010:01:56%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:57	440365/440365	---M-Z	200	added ('OK')	text/css	etag:W/%2260c310c1-6b82d%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/soft-ui-dashboard.min.css?v=1.0.1	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/css/soft-ui-dashboard.minf700.css	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:57	49377/49377	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Jun%202021%2017:36:57%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2023%20Jun%202021%2010:01:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/www.googletagmanager.com/gtm.95445.delayed	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:58	6956/6956	---M--	200	added ('OK')	image/png	etag:%2260c310c1-1b2c%22	https://demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/logo-ct.png	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/assets/img/logo-ct.png	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:58	90596/90596	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/automotive.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/automotive.html	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:58	117727/117727	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/smart-home.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/smart-home.html	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:59	96923/96923	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-default.html	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:01:59	87672/87672	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-info.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/vr/vr-info.html	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
18:02:00	103347/103347	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:29:05%20GMT	https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/crm.html	C:/Users/KLP-DEO/Desktop/admin-bootstrap5-v1/demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/crm.html	(from https://demos.creative-tim.com/soft-ui-dashboard-pro/pages/dashboards/default.html)
